"official_name","post_code4","post_code6","canton_label_short","latitude","longitude"
"Seuzach",8472,847200,"ZH",47.536230605349,8.7383438626159
"Turbenthal",8488,848800,"ZH",47.43516127999,8.8473737643492
"Schmidrüti",8495,849500,"ZH",47.41480965555,8.9033984280844
"Ricketwil (Winterthur)",8352,835202,"ZH",47.486869875692,8.8005574173766
"Winterthur",8400,840000,"ZH",47.491623470661,8.7295303144167
"Winterthur",8404,840400,"ZH",47.507471106591,8.7592138002095
"Reutlingen (Winterthur)",8404,840402,"ZH",47.527952843432,8.7513158520053
"Stadel (Winterthur)",8404,840403,"ZH",47.535339400849,8.7646079947354
"Winterthur",8405,840500,"ZH",47.477550099151,8.7782540494657
"Winterthur",8406,840600,"ZH",47.483225976356,8.7006118464829
"Winterthur",8408,840800,"ZH",47.507735791975,8.6833246931072
"Winterthur",8409,840900,"ZH",47.509824136341,8.7814433206081
"Sennhof (Winterthur)",8482,848200,"ZH",47.469165109867,8.75801142944
"Kollbrunn",8483,848300,"ZH",47.45729354668,8.7766170047918
"Rikon im Tösstal",8486,848600,"ZH",47.444726134477,8.7967613055658
"Zell ZH",8487,848700,"ZH",47.448520919543,8.8226771502684
"Rämismühle",8487,848701,"ZH",47.441574612427,8.8190624729092
"Aesch ZH",8904,890400,"ZH",47.337354568567,8.4382261431861
"Birmensdorf ZH",8903,890300,"ZH",47.351667259184,8.4411679653267
"Dietikon",8953,895300,"ZH",47.404912591415,8.4037208493106
"Fahrweid",8951,895100,"ZH",47.410417638631,8.4154808668136
"Geroldswil",8954,895400,"ZH",47.422432948378,8.4103600445507
"Oberengstringen",8102,810200,"ZH",47.408375079235,8.4623481815673
"Oetwil an der Limmat",8955,895500,"ZH",47.428155906617,8.3949828577743
"Schlieren",8952,895200,"ZH",47.39660232773,8.4457752448913
"Uitikon Waldegg",8142,814200,"ZH",47.36806693503,8.4625145169275
"Unterengstringen",8103,810300,"ZH",47.41331901798,8.4494304794458
"Urdorf",8902,890200,"ZH",47.382661154036,8.4237395494629
"Weiningen ZH",8104,810400,"ZH",47.420631808421,8.4359716412276
